[01:29:01] [Client thread/INFO]: Setting user: Player392
[01:29:04] [Client thread/WARN]: Skipping bad option: lastServer:
[01:29:04] [Client thread/INFO]: LWJGL Version: 3.2.1 build 12
[01:29:05] [Client thread/ERROR]: Couldn't set icon
java.io.FileNotFoundException: icons/icon_16x16.png
	at wo.a(SourceFile:91) ~[1.14.4.jar:?]
	at cyc.au(SourceFile:467) [1.14.4.jar:?]
	at cyc.b(SourceFile:394) [1.14.4.jar:?]
	at net.minecraft.client.main.Main.main(SourceFile:155) [1.14.4.jar:?]
[01:29:06] [Realms Notification Availability checker #1/INFO]: Could not authorize you against Realms server: Invalid session id
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.cave
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.enter
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.exit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.rare
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.ultra_rare
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.destroy
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.use
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_chain
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_diamond
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_elytra
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_generic
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_gold
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_iron
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_leather
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.armor.equip_turtle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.arrow.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.arrow.hit_player
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.arrow.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.axe.strip
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo_sapling.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo_sapling.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bamboo_sapling.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.barrel.close
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.barrel.open
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.loop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.takeoff
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.activate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.deactivate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.power_select
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bell.use
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bell.resonate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.burn
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.boat.paddle_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.boat.paddle_water
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.book.page_turn
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.book.put
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fishing_bobber.retrieve
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fishing_bobber.splash
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fishing_bobber.throw
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.blastfurnace.fire_crackle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bottle.empty
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bottle.fill
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bottle.fill_dragonbreath
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.brewing_stand.brew
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.bubble_pop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.upwards_ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.upwards_inside
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.whirlpool_ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.whirlpool_inside
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bucket.empty
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_fish
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_lava
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bucket.fill
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_fish
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_lava
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.campfire.crackle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.stray_ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.eat
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.hiss
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.beg_for_food
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.purr
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.purreow
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.chest.close
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.chest.locked
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.chest.open
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.ambient
